timestamp,emotion,reason
2025-07-12 19:24:36,No_Detection,No hand found in webcam frame
2025-07-12 19:24:37,No_Detection,No hand found in webcam frame
2025-07-12 19:24:37,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:37,No_Detection,No hand found in webcam frame
2025-07-12 19:24:38,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:38,No_Detection,No hand found in webcam frame
2025-07-12 19:24:39,No_Detection,No hand found in webcam frame
2025-07-12 19:24:39,neutral,Webcam: Calm and composed.
2025-07-12 19:24:39,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:40,neutral,Webcam: Calm and composed.
2025-07-12 19:24:40,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:40,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:41,neutral,Webcam: Calm and composed.
2025-07-12 19:24:41,No_Detection,No hand found in webcam frame
2025-07-12 19:24:41,neutral,Webcam: Calm and composed.
2025-07-12 19:24:42,No_Detection,No hand found in webcam frame
2025-07-12 19:24:42,neutral,Webcam: Calm and composed.
2025-07-12 19:24:42,No_Detection,No hand found in webcam frame
2025-07-12 19:24:43,No_Detection,No hand found in webcam frame
2025-07-12 19:24:43,neutral,Webcam: Calm and composed.
2025-07-12 19:24:43,No_Detection,No hand found in webcam frame
2025-07-12 19:24:44,neutral,Webcam: Calm and composed.
2025-07-12 19:24:44,No_Detection,No hand found in webcam frame
2025-07-12 19:24:44,No_Detection,No hand found in webcam frame
2025-07-12 19:24:45,neutral,Webcam: Calm and composed.
2025-07-12 19:24:45,No_Detection,No hand found in webcam frame
2025-07-12 19:24:45,neutral,Webcam: Calm and composed.
2025-07-12 19:24:45,No_Detection,No hand found in webcam frame
2025-07-12 19:24:46,No_Detection,No hand found in webcam frame
2025-07-12 19:24:46,angry,Webcam: Frustration or irritation detected.
2025-07-12 19:24:46,No_Detection,No hand found in webcam frame
2025-07-12 19:24:47,No_Detection,No hand found in webcam frame
2025-07-12 19:24:47,angry,Webcam: Frustration or irritation detected.
2025-07-12 19:24:47,No_Detection,No hand found in webcam frame
2025-07-12 19:24:48,angry,Webcam: Frustration or irritation detected.
2025-07-12 19:24:48,No_Detection,No hand found in webcam frame
2025-07-12 19:24:48,No_Detection,No hand found in webcam frame
2025-07-12 19:24:49,angry,Webcam: Frustration or irritation detected.
2025-07-12 19:24:49,No_Detection,No hand found in webcam frame
2025-07-12 19:24:49,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:50,No_Detection,No hand found in webcam frame
2025-07-12 19:24:50,No_Detection,No hand found in webcam frame
2025-07-12 19:24:50,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:51,No_Detection,No hand found in webcam frame
2025-07-12 19:24:51,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:51,No_Detection,No hand found in webcam frame
2025-07-12 19:24:52,No_Detection,No hand found in webcam frame
2025-07-12 19:24:52,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:52,No_Detection,No hand found in webcam frame
2025-07-12 19:24:53,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:53,No_Detection,No hand found in webcam frame
2025-07-12 19:24:53,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:24:54,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:24:54,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:54,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:24:54,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:55,Happy,Sign detected: Thumbs Up (webcam)
2025-07-12 19:24:55,surprise,Webcam: Unexpected event or discovery.
2025-07-12 19:24:55,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:56,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:56,happy,"Webcam: Positive mood, feeling good."
2025-07-12 19:24:57,No_Detection,No hand found in webcam frame
2025-07-12 19:24:57,fear,Webcam: Feeling of apprehension or anxiety.
2025-07-12 19:24:57,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:58,fear,Webcam: Feeling of apprehension or anxiety.
2025-07-12 19:24:58,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:58,Neutral,Sign detected: Other Gesture (webcam)
2025-07-12 19:24:59,fear,Webcam: Feeling of apprehension or anxiety.
2025-07-12 19:24:59,Neutral,Sign detected: Other Gesture (webcam)
